Package Name,Directory Name,Prefixes,File Numbers,File Names,Globals
APC DATA ENTRY,Ambulatory Patient Care Data Entry,AAPC,,,
MEDICARE BILLING,Medicare Billing,ABC,,,
MEDICAID BILLING,Medicaid Billing,ABD,,,
THIRD PARTY BILLING,Third Party Billing,ABM,9002274.01,3P FEE TABLE,
,,,9002274.02,3P PCC VISIT BILLING STATUS,
,,,9002274.03,3P CODES,
,,,9002274.04,3P ERROR CODE,
,,,9002274.05,3P PAGE 3 QUESTIONS,
,,,9002274.06,3P ANESTHESIA CHARGE LIST,
,,,9002274.07,3P MODIFIERS,
,,,9002274.08,3P EXPORT MODE,
,,,9002274.09,3P INSURER,
,,,9002274.095,3P RECEIVER,
,,,9002274.11,3P EMC REFERENCE ID,
,,,9002274.1,3P DENTAL RECODE,
,,,9002274.2,3P EXP LOCAL MOD,
,,,9002274.301,3P CLOSED CLAIM REASON,
,,,9002274.31,3P CANCEL CLAIM REASONS,
,,,9002274.32,3P CANCELLED CLAIM DATA,
,,,9002274.33,3P CLAIM PENDING STATUS,
,,,9002274.3,3P CLAIM DATA,
,,,9002274.34,3P CONDITION INDICATORS,
,,,9002274.35,3P REFERENCE LAB LOCATIONS,
,,,9002274.37,3P CPT TABLE,
,,,9002274.41,3P UFMS INSURER TYPE-BUDGET ACTIVITY,
,,,9002274.42,3P UFMS CLINIC-COST CENTER,
,,,9002274.4,3P BILL,
,,,9002274.44,3P UFMS EXCLUSION TABLE,
,,,9002274.45,3P UFMS CASHIERING SESSIONS,
,,,9002274.46,3P UFMS EXPORTS,
,,,9002274.47,3P CANCEL BILL REASONS,
,,,9002274.5,3P PARAMETERS,
,,,9002274.55,3P MU PARAMETERS,
,,,9002274.6,3P TX STATUS,
,,,9002274.7,3P DENIAL REASONS,
,,,9002274.75,3P CHARGE MASTER,
,,,9002274.8,3P VISIT TYPE,
,,,9002274.93,3P ENVOY PAYER,
,,,9002274.9,3P AREA OFFICE EXPORT,
,,,9002274.94,3P ENVOY PROVIDER SPECIALTY,
,,,9002274.95,3P PROVIDER TAXONOMY,
THIRD PARTY TRACKING,Third Party Tracking,ABP,9002270.01,AO PVT-INS AREA,
,,,9002270.02,AO PVT-INS ACCOUNT,
,,,9002270.03,AO PVT-INS CHECK LOG,
,,,9002270.04,AO PVT-INS PAYMENT BATCH,
,,,9002270.05,AO PVT-INS MAILING LABELS,
,,,9002270.06,AO PVT-INS POSTING,
,,,9002271,PRIVATE INSURANCE TX STATUS,
,,,9002273.02,PRIVATE INS FACILITY BILLING,
ALASKA BILLING SYSTEM,Alaska Billing System,ABS,,,
PHARMACY POS,Pharmacy Point of Sale,ABSP,9002313.02,ABSP CLAIMS,
,,,9002313.03,ABSP RESPONSES,
,,,9002313.1,ABSP COMBINED INSURANCE,
,,,9002313.31,ABSP CERTIFICATION,
,,,9002313.3,ABSP REJECT CODES,
,,,9002313.473,ABSP DUR-PPS,
,,,9002313.491,ABSP DIAGNOSIS CODE,
,,,9002313.4,ABSP INSURER,
,,,9002313.511,ABSP NCPDP OVERRIDE,
,,,9002313.515,ABSP INPUT USER PREF,
,,,9002313.516,ABSP ORIGIN OF INPUT,
,,,9002313.51,ABSP DATA INPUT,
,,,9002313.53,ABSP PRICING TABLES,
,,,9002313.54,ABSP MODEM TYPES,
,,,9002313.55,ABSP DIAL OUT,
,,,9002313.56,ABSP PHARMACIES,
,,,9002313.57,ABSP LOG OF TRANSACTIONS,
,,,9002313.58,ABSP STATISTICS,
,,,9002313.59,ABSP TRANSACTION,
,,,9002313.61,ABSP REPORT MASTER,
,,,9002313.7,ABSP ELIGIBILITY,
,,,9002313.81,ABSP TRANSLATE 9999999.36,
,,,9002313.82103,ABSP NCPDP FIELD 103,
,,,9002313.82305,ABSP NCPDP FIELD 305,
,,,9002313.82306,ABSP NCPDP FIELD 306,
,,,9002313.82307,ABSP NCPDP FIELD 307,
,,,9002313.82308,ABSP NCPDP FIELD 308,
,,,9002313.82309,ABSP NCPDP FIELD 309,
,,,9002313.82406,ABSP NCPDP FIELD 406,
,,,9002313.82408,ABSP NCPDP FIELD 408,
,,,9002313.82416,ABSP NCPDP FIELD 416,
,,,9002313.82418,ABSP NCPDP FIELD 418,
,,,9002313.82419,ABSP NCPDP FIELD 419,
,,,9002313.82423,ABSP NCPDP FIELD 423,
,,,9002313.82425,ABSP NCPDP FIELD 425,
,,,9002313.82429,ABSP NCPDP FIELD 429,
,,,9002313.8242,ABSP NCPDP FIELD 420,
,,,9002313.82432,ABSP NCPDP FIELD 432,
,,,9002313.82436,ABSP NCPDP FIELD 436,
,,,9002313.82439,ABSP NCPDP FIELD 439,
,,,9002313.82441,ABSP NCPDP FIELD 441,
,,,9002313.8244,ABSP NCPDP FIELD 440,
,,,9002313.82501,ABSP NCPDP FIELD 501,
,,,9002313.82522,ABSP NCPDP FIELD 522,
,,,9002313.82528,ABSP NCPDP FIELD 528,
,,,9002313.82529,ABSP NCPDP FIELD 529,
,,,9002313.82532,ABSP NCPDP FIELD 532,
,,,9002313.82533,ABSP NCPDP FIELD 533,
,,,9002313.82535,ABSP NCPDP FIELD 535,
,,,9002313.83,ABSP RESULT CATEGORY,
,,,9002313.89,ABSP ERROR CODES,
,,,9002313.91,ABSP NCPDP FIELD DEFS,
,,,9002313.92,ABSP NCPDP FORMATS,
,,,9002313.93,ABSP NCPDP REJECT CODES,
,,,9002313.94,ABSP INSURANCE RULES,
,,,9002313.99,ABSP SETUP,
VOLUNTARY TIMEKEEPING (VA),Voluntary Timekeeping,ABSV,,,
COST ACCOUNTING,Cost Accounting,ACA,,,
ALCOHOL CHEMICAL DEPENDENCY,Alcohol Chemical Dependency,ACD,9002170.11,CDMIS PHARMACOTHERAPY DRUGS,
,,,9002170.1,CDMIS COMPONENT,
,,,9002170.2,CDMIS DATA EXTRACT LOG,
,,,9002170.3,CDMIS PROBLEM,
,,,9002170.4,CDMIS PLACEMENT REASON,
,,,9002170.5,CDMIS DRUG TABLE,
,,,9002170.6,CDMIS SERVICE,
,,,9002170.7,CDMIS PREVENTION,
,,,9002170.8,CDMIS LOCATION,
,,,9002170.9,CDMIS PREVENTION ACTIVITIES,
,,,9002170,CDMIS INIT-INFO-FU,
,,,9002171.2,CDMIS 200 CONVERSION,
